Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,developed_buffer_pct,agricultural_buffer_pct,burned_buffer_pct,wetlands_buffer_pct,lakes_buffer_pct,high_cascades_buffer_pct,road_density_buffer,veg_height_buffer_m,veg_cover_buffer_pct
thermal_sensitivity,1,0.767,0.327,0.451,0.479,-0.042,0.141,0.374,-0.479,-0.009,-0.378,-0.29
mean_stream_temp_c,0.767,1,0.597,0.582,0.671,0.012,0.315,0.454,-0.529,0.096,-0.648,-0.627
mean_air_temp_c,0.327,0.597,1,0.554,0.722,-0.064,0.355,0.236,-0.154,0.259,-0.524,-0.486
developed_buffer_pct,0.451,0.582,0.554,1,0.786,-0.118,0.427,0.632,-0.283,0.179,-0.576,-0.411
agricultural_buffer_pct,0.479,0.671,0.722,0.786,1,-0.1,0.452,0.44,-0.266,0.085,-0.625,-0.505
burned_buffer_pct,-0.042,0.012,-0.064,-0.118,-0.1,1,-0.103,-0.141,0.132,0.003,0.029,-0.294
wetlands_buffer_pct,0.141,0.315,0.355,0.427,0.452,-0.103,1,0.392,-0.026,0.052,-0.452,-0.339
lakes_buffer_pct,0.374,0.454,0.236,0.632,0.44,-0.141,0.392,1,-0.283,-0.109,-0.446,-0.229
high_cascades_buffer_pct,-0.479,-0.529,-0.154,-0.283,-0.266,0.132,-0.026,-0.283,1,0.001,0.403,0.261
road_density_buffer,-0.009,0.096,0.259,0.179,0.085,0.003,0.052,-0.109,0.001,1,-0.276,-0.288
veg_height_buffer_m,-0.378,-0.648,-0.524,-0.576,-0.625,0.029,-0.452,-0.446,0.403,-0.276,1,0.85
veg_cover_buffer_pct,-0.29,-0.627,-0.486,-0.411,-0.505,-0.294,-0.339,-0.229,0.261,-0.288,0.85,1
