Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,channel_slope,solar_exposure,elevation_m,base_flow_index,summer_mean_max_air_temp_c,summer_max_air_temp_c,annual_precip_mm,summer_precip_mm,summer_mean_air_temp_c,wet_season_precip_mm
thermal_sensitivity,1,0.7668164685783848,0.32741178814206023,-0.28205644578558814,0.20305213457716342,-0.6888688794659481,-0.7724074770534384,0.20534221151587537,-0.07225331320705052,-0.4891129581999647,0.4344204324449728,0.3893606096971082,-0.4988903929718069
mean_stream_temp_c,0.7668164685783848,1,0.5974015254944701,-0.540416247032922,0.11867145941242586,-0.8750814120900021,-0.8147332302299183,0.4895596368222036,0.21972614891402542,-0.6290432884381475,0.23358767850740145,0.6875768936816379,-0.6416183651690291
mean_air_temp_c,0.32741178814206023,0.5974015254944701,1,-0.43674910098535485,0.12245738101621502,-0.6317268835642327,-0.5351439369584777,0.9277497079826442,0.8170927612782433,-0.6965384873162497,-0.45422294826328774,0.9179972196605286,-0.6847743471125095
channel_slope,-0.28205644578558814,-0.540416247032922,-0.43674910098535485,1,0.165609093490343,0.48394335623969986,0.293816757033161,-0.4134730649808469,-0.3113634747649972,0.37030007504081214,0.1305001741369232,-0.5090198459956778,0.35563026623853505
solar_exposure,0.20305213457716342,0.11867145941242586,0.12245738101621502,0.165609093490343,1,-0.22182017014843763,-0.2794695918049765,0.10284822855478752,-0.01973335049831498,-0.20030878602812802,0.11326975351233284,0.20815709494677326,-0.2064201741205157
elevation_m,-0.6888688794659481,-0.8750814120900021,-0.6317268835642327,0.48394335623969986,-0.22182017014843763,1,0.8976897166241798,-0.566959906370903,-0.2958072662718072,0.8361183040398512,-0.13530291584541476,-0.7668987925934391,0.8467006549998278
base_flow_index,-0.7724074770534384,-0.8147332302299183,-0.5351439369584777,0.293816757033161,-0.2794695918049765,0.8976897166241798,1,-0.4704832211678988,-0.18926764935917115,0.7753089994058637,-0.256704703553852,-0.6372021583923353,0.7827877092080403
summer_mean_max_air_temp_c,0.20534221151587537,0.4895596368222036,0.9277497079826442,-0.4134730649808469,0.10284822855478752,-0.566959906370903,-0.4704832211678988,1,0.9196809109477782,-0.7220837287099732,-0.6231082232980041,0.9198739083583962,-0.7063222735094971
summer_max_air_temp_c,-0.07225331320705052,0.21972614891402542,0.8170927612782433,-0.3113634747649972,-0.01973335049831498,-0.2958072662718072,-0.18926764935917115,0.9196809109477782,1,-0.52931148173762,-0.8172636183797868,0.7509046753622722,-0.5111697251395211
annual_precip_mm,-0.4891129581999647,-0.6290432884381475,-0.6965384873162497,0.37030007504081214,-0.20030878602812802,0.8361183040398512,0.7753089994058637,-0.7220837287099732,-0.52931148173762,1,0.2393007060488605,-0.7941360953407208,0.9954002283802692
summer_precip_mm,0.4344204324449728,0.23358767850740145,-0.45422294826328774,0.1305001741369232,0.11326975351233284,-0.13530291584541476,-0.256704703553852,-0.6231082232980041,-0.8172636183797868,0.2393007060488605,1,-0.3720829245540956,0.2106727568071795
summer_mean_air_temp_c,0.3893606096971082,0.6875768936816379,0.9179972196605286,-0.5090198459956778,0.20815709494677326,-0.7668987925934391,-0.6372021583923353,0.9198739083583962,0.7509046753622722,-0.7941360953407208,-0.3720829245540956,1,-0.7838429001077569
wet_season_precip_mm,-0.4988903929718069,-0.6416183651690291,-0.6847743471125095,0.35563026623853505,-0.2064201741205157,0.8467006549998278,0.7827877092080403,-0.7063222735094971,-0.5111697251395211,0.9954002283802692,0.2106727568071795,-0.7838429001077569,1
