Covariate,VIF
channel_slope,3.965860509294894
elevation_m,101.90970719482911
base_flow_index,108.39439138122749
summer_mean_max_air_temp_c,531.1984417462663
summer_max_air_temp_c,313.40378219158924
annual_precip_mm,2845.973889552527
summer_precip_mm,63.163882973087716
summer_mean_air_temp_c,175.4642732077436
wet_season_precip_mm,2943.938096008806
developed_upstream_pct,19.45623038265517
lakes_upstream_pct,7.4000366349157245
agricultural_upstream_pct,32.48677002993309
burned_upstream_pct,21.90949333634079
road_density_upstream,14.515761992448377
high_cascades_upstream_pct,9.076018949757648
wetlands_upstream_pct,14.493781193900997
veg_cover_upstream_pct,174.73035997991792
veg_height_upstream_m,187.6360342114855
forest_upstream_pct,27.90639590400522
shrub_upstream_pct,14.814293999491786
upstream_area_km2,12.598079220780331
burned_reach_pct,8.638289930286433
agricultural_reach_pct,16.290399206495156
wetlands_reach_pct,9.208809140699811
lakes_reach_pct,40.76638770739881
high_cascades_reach_pct,9.240903710856426
developed_reach_pct,25.508421365647706
road_density_reach,9.83237748026143
veg_cover_reach_pct,156.5132486574342
veg_height_reach_m,229.54145272521285
developed_buffer_pct,18.30320747203545
agricultural_buffer_pct,10.928652163316162
burned_buffer_pct,17.147889249277494
wetlands_buffer_pct,6.695404442844171
lakes_buffer_pct,40.116263639692264
high_cascades_buffer_pct,5.547191356228468
road_density_buffer,6.424650637369145
veg_height_buffer_m,118.95795284517264
veg_cover_buffer_pct,122.11813604676793
